"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
100","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","100
006","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","12","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","10","3.150","30.0","40.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
010","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","011
100","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
100","12","3.292","8.3","58.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","013
100","11","3.273","27.3","36.4","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","100
014","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
100","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","8","3.286","12.5","37.5","25.0","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"","100
017","10","3.150","20.0","40.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","019
100","12","3.375","41.7","33.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
020","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","10","3.050",".","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","022
100","11","3.045","9.1","54.5","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"","025
100","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","13","3.346","15.4","53.8","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
027","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
029","13","3.346","23.1","38.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","033
100","12","2.917",".","50.0","25.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"","100
034","10","3.450","10.0","70.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","035
100","7","3.071",".","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
037","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","338","3.390","26.3","41.7","22.5","6.5","1.2","0.6","0.9",".",".",".",".",".","0.3",".",".","."
"","105
001","19","3.368","31.6","21.1","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","19","3.316","31.6","36.8","21.1","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","105
003","19","3.289","21.1","42.1","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","105
004","16","3.375","18.8","43.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
105","18","3.389","16.7","50.0","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","19","3.361","15.8","52.6","15.8","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","110","3.349","22.7","40.9","25.5","6.4","2.7",".","0.9","0.9",".",".",".",".",".",".",".","."
"Intro-Digital Media Production","001
155","136","3.607","39.7","49.3","7.4","1.5","1.5","0.7",".",".",".",".",".",".",".",".",".","."
"Survey of Contemporary Media","250
001","183","2.981","8.7","26.2","36.1","19.1","6.6","0.5","2.2",".",".",".",".",".","0.5",".",".","."
"","260
001","162","2.931","15.4","22.8","27.2","15.4","11.7","4.3","1.9",".",".",".",".",".","1.2",".",".","."
"","260
002","72","2.908","12.5","31.9","25.0","11.1","9.7","2.8","5.6","1.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","Course Total","234","2.924","14.5","25.6","26.5","14.1","11.1","3.8","3.0","0.4",".",".",".",".","0.9",".",".","."
