"","812
044","17","3.441","17.6","52.9","29.4",".","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"","045
812","15","3.333","13.3","40.0","46.7",".","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"Neuroscience Core Clerkship","Course Total","68","3.441","23.5","41.2","35.3","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Clin Neurol Clerk-Marshfld","920
004","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"NEUROL
676","Dept. Total","128","3.607","58.6","21.9","18.8","",".","0.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","6","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","16","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","35","3.947","97.1",".",".","",".","2.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","58","3.967","98.3",".",".","",".","1.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","65","3.446","24.6","40.0","35.4","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","70","3.449","25.7","40.0","34.3","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","128","3.607","58.6","21.9","18.8","",".","0.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
