"PORTUGUESE (SPANISH & POR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","8","2.750",".","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102","002","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102","003","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","","Course Total","","24","3.375","41.7","20.8","16.7","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202","001","","8","3.625","62.5","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Portuguese for Business","207","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226","001","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301","001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Brazl Lit since 1890","468","002","","8","3.500","37.5","12.5","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","899","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
