"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"545
Engr Extracellular Matrices","001","","22","3.614","36.4","50.0","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Systems Biology: Mamm Sign Net","001","","15","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"578
NonIonizing Diagnostic Imaging","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","33","3.688","36.4","60.6",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","49","3.700","49.0","44.9","4.1",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","31","3.968","93.5",".","3.2",".",".",".",".",".",".",".",".","3.2",".",".",".","."
"782
Modeling Biological Systems","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","11","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
"890","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
