"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
001","9","2.944",".",".","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","20","3.400","40.0","40.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","003
226","14","2.964","7.1","35.7","42.9",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","226
004","18","3.250","22.2","22.2","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","226
005","19","3.421","21.1","42.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","20","3.700","65.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","007
226","11","3.409","9.1","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
008","17","3.324","17.6","47.1","23.5","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","226
009","16","3.156","25.0","25.0","37.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","226
010","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","19","3.605","47.4","26.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
012","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
226","16","3.900","81.3","6.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","226
014","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
015","17","3.618","52.9","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","016
226","18","3.556","50.0","16.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","226
017","19","3.079","10.5","21.1","47.4","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
018","16","3.438","43.8","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","284","3.433","36.3","29.2","26.4","4.2","2.5",".","1.1","0.4",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
002","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","20","3.500","50.0","30.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","311
005","21","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
006","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","18","3.556","50.0","22.2","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","311
008","20","3.737","60.0","30.0",".",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","009
311","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
010","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
311","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","174","3.751","66.1","23.0","8.6",".","1.1",".","0.6","0.6",".",".",".",".",".",".",".","."
"","319
001","18","3.647","61.1","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","5.6"
"","002
319","22","3.705","68.2","9.1","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","40","3.679","65.0","10.0","17.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","2.5"
"","320
001","20","3.325","15.0","50.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
320","21","3.452","52.4","19.0","14.3","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","003
320","22","3.523","54.5","13.6","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","320
004","25","3.380","44.0","20.0","16.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","320
007","23","3.652","43.5","43.5","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","111","3.468","42.3","28.8","16.2","7.2","4.5","0.9",".",".",".",".",".",".",".",".",".","."
"Structure of Modern Spanish","321
001","20","3.125","20.0","30.0","20.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","322
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
322","24","3.587","45.8","29.2","16.7",".","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","33","3.656","51.5","30.3","12.1",".","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"","324
001","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","21","3.476","33.3","28.6","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 323 of 430",""
