"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"","406
002","","23","3.457","34.8","21.7","43.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","","42","3.464","35.7","23.8","38.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","102","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","102","3.814","64.7","33.3","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","603
001","","35","3.765","62.9","22.9","11.4",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","620
001","","41","3.122","22.0","22.0","29.3","22.0",".","4.9",".",".",".",".",".",".",".",".",".","."
"","002
620","","43","3.372","32.6","25.6","27.9","11.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","84","3.250","27.4","23.8","28.6","16.7","1.2","2.4",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","621
001","","29","3.250","24.1","27.6","24.1","13.8","6.9",".",".","3.4",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630
001","","46","3.272","26.1","17.4","43.5","10.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","25","3.660","52.0","28.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
631","","31","3.435","32.3","22.6","45.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","","56","3.536","41.1","25.0","33.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","11","3.091",".","18.2","81.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
706","","13","3.423","38.5","7.7","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","21","3.381","28.6","19.0","52.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
031","","43","3.663","48.8","34.9","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722
001","","25","3.260","24.0","20.0","40.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","","21","3.286","23.8","28.6","33.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","765
001","","24","3.667","45.8","41.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","45","3.734","53.3","37.8","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","33","3.773","69.7","15.2","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
002","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","Course Total","","66","3.871","81.8","10.6","7.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","8","3.643","50.0","12.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","990
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","999
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
