"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","6082","2.835","26.0","14.2","21.0","12.2","15.8","6.4","3.6","0.6","0.0",".","",".","",".","0.1","0.1","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1053","2.750","22.2","12.8","19.1","15.0","19.4","8.6","2.8",".",".",".","",".","",".","0.1",".",".","."
"Sophomore","","2283","2.784","21.6","14.2","23.8","13.1","16.7","7.0","3.4",".",".",".","",".","",".","0.0","0.1",".","0.1"
"Junior","","1367","2.720","20.8","15.8","21.2","12.3","17.4","6.2","5.9","0.1","0.1",".","",".","",".","0.1",".",".","0.1"
"Senior","","836","2.849","24.5","14.5","22.8","12.0","15.9","6.6","3.3",".",".",".","",".","",".",".","0.1",".","0.2"
"Undergraduates","","5539","2.771","22.0","14.4","22.1","13.1","17.3","7.0","3.9","0.0","0.0",".","",".","",".","0.1","0.1",".","0.1"
"Special","","156","3.542","55.8","16.0","12.8","5.8","1.9","0.6","1.9","4.5",".",".","",".","",".",".","0.6",".","."
"Graduate","","387","3.808","71.6","10.3","7.5","1.6","0.8",".","0.3","6.7",".",".","",".","",".","0.5","0.3","0.5","."
"","Dept. Total","6082","2.835","26.0","14.2","21.0","12.2","15.8","6.4","3.6","0.6","0.0",".","",".","",".","0.1","0.1","0.0","0.1"
