"","E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Chinese","102","001","","71","3.627","64.8","18.3","8.5","2.8","2.8","1.4","1.4",".",".",".",".",".",".",".",".","."
"","104","001","","31","3.645","64.5","12.9","16.1",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"","104","002","","48","3.469","54.2","18.8","8.3","12.5","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"Second Semester Japanese","","Course Total","","79","3.538","58.2","16.5","11.4","7.6","5.1",".","1.3",".",".",".",".",".",".",".",".","."
"Elementary Korean","106","001","","33","3.333","33.3","33.3","9.1","15.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","121","001","","12","3.900","75.0",".","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","121","002","","13","3.577","76.9","7.7","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","121","003","","14","3.875","64.3","21.4",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Elementary Chinese","","Course Total","","39","3.771","71.8","10.3","5.1",".",".",".","2.6","10.3",".",".",".",".",".",".",".","."
"","123","001","","23","3.864","82.6","4.3","4.3","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","123","002","","24","3.563","45.8","41.7","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","","Course Total","","47","3.707","63.8","23.4","4.3","4.3",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"Fourth Semester Chinese","202","001","","45","3.689","68.9","17.8","8.9",".","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"Fourth Semester Japanese","204","001","","29","3.276","44.8","20.7","17.2","6.9","3.4",".","6.9",".",".",".",".",".",".",".",".","."
"Second Sem Heritage Chinese","214","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","6","3.500","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intro-Japanese Culture&Civ","253","001","","29","3.241","13.8","55.2","17.2","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Humanities Topics in EAS","300","001","","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Chinese","302","001","","37","3.629","62.2","16.2","8.1",".","5.4","2.7",".","2.7",".",".",".",".","2.7",".",".","."
"Sixth Semester Japanese","304","001","","13","3.615","61.5",".","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Chinese","312","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Japanese","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"1st Yr Classical Chinese","322","001","","18","3.324","33.3","22.2","22.2","5.6","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"Elementary Korean","326","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Korean","346","001","","10","3.590","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Korean","348","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","352","001","","21","3.619","76.2","9.5","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Survey-Japanese Literature","354","001","","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language in Japanese Society","358","001","","15","3.300","33.3","26.7","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Masterworks: The Tale of Genji","361","001","","12","3.375","25.0","50.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","","33","3.348","30.3","36.4","24.2","3.0","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Topics-Chinese Literature","371","001","","25","3.940","96.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Tech Japanese II","375","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Manga","376","001","","12","3.583","41.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Japanese Communication","377","001","","23","3.630","56.5","21.7","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Business Chinese","379","001","","25","3.760","68.0","24.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Eighth Semester Chinese","402","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","Page 208 of 430",""
