"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","202
001","190","3.774","73.2","15.3","7.4","2.6","1.1","0.5",".",".",".",".",".",".",".",".",".","."
"","010
202","30","3.817","76.7","10.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","Course Total","220","3.780","73.6","14.5","8.2","2.3","0.9","0.5",".",".",".",".",".",".",".",".",".","."
"Tpcs in Info St-Social Aspects","340
001","31","3.565","45.2","45.2","3.2","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"Independent Reading & Research","399
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
001","27","3.827","74.1","14.8","3.7","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"","451
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","451
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Online Searching for Info Pro","Course Total","34","3.833","76.5","11.8","5.9","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Surv, Privacy, Police Powers","460
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","551
001","26","3.712","53.8","34.6","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","25","3.620","44.0","36.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization of Information","Course Total","57","3.675","49.1","36.8","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","569
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","569
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","569
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-American Librarianship","Course Total","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
620","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","629
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
631","15","3.767","80.0","6.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Literature","Course Total","21","3.738","81.0","4.8",".","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","Course Total","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
007","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","642
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Interests of Adults","Course Total","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","644
001","16","3.688","81.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
