"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"692
Senior Thesis","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"830
Advanced Hist of Philosophy","002","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"941","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"941","002","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Ethics","Course Total","","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar-Philosophy of Mind","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"960
Metaphysics Seminar","001","","12","3.800","25.0","16.7",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"PHILOS
736","Dept. Total","","1684","3.271","31.7","26.4","21.5","8.5","4.9","2.7","1.1","2.4",".",".",".",".","0.6","0.1","0.2","0.1"
