"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Photography","Course Total","","35","3.676","57.1","20.0","17.1","2.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"Art Foundry","414
001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Design Context","438
001","","10","3.350","30.0","30.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
448","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
011","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","59","3.980","96.6","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454
001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Packaging Design","465
001","","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","469
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","Course Total","","18","3.781","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","470
002","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in 4D Art","Course Total","","12","3.432","33.3","41.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508
001","","106","3.865","79.2","13.2","4.7",".","0.9",".",".","0.9",".",".",".",".","0.9",".",".","."
"","512
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","512
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","Course Total","","6","3.417","33.3","50.0",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","516
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","516
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Artist's Video","518
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio II","529
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Screen Performance","531
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","","8","3.643","50.0","25.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
