"L&S","","","","","","","","","","","","","","","","","","","","",""
"LATIN AMER, CARIB & IBERIAN","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","",""
"Latin America-Introduction","260","001","","9","3.688","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Elementary Quechua","362","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LACIS","","Course Total","","14","3.742","64.3","21.4","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Smr-Latin American Area","982","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"LACIS
525","","Dept. Total","","27","3.753","59.3","22.2","7.4",".",".",".",".","3.7",".",".",".",".","3.7",".","3.7","."
