"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","3","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","10","3.958","90.0","10.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","62","3.754","69.4","17.7","8.1","1.6","3.2","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","76","3.789","72.4","17.1","6.6","1.3","2.6","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","63","3.571","20.6","11.1","7.9",".",".","",".","",".","46.0","",".",".","",".","14.3","",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
