"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Prosem: Topics in Poli Sci","Course Total","","74","3.635","59.5","28.4","5.4","4.1",".",".","2.7",".",".",".",".",".",".",".",".","."
"631","001","","19","2.944","21.1","26.3","10.5","26.3",".","5.3","5.3","5.3",".",".",".",".",".",".",".","."
"631","002","","13","3.150","7.7","30.8","23.1","7.7","7.7",".",".","23.1",".",".",".",".",".",".",".","."
"Arab-Israeli Conflict","Course Total","","32","3.018","15.6","28.1","15.6","18.8","3.1","3.1","3.1","12.5",".",".",".",".",".",".",".","."
"659
Pol&Society:Contemp E Europ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"660
African Politics","001","","23","3.543","52.2","13.0","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","3.946","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"685","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"685","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Research Internship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"690
Stdy Abroad-Pol Sci:CmpartvPol","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"698
Directed Study","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","25","3.755","56.0","28.0","4.0",".",".",".",".",".",".",".",".",".","8.0",".","4.0","."
"701
American Foreign Policy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"813
Stat Inference Pol Research","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"821
Mass Political Behavior","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"828
Contemp Presidency:Iss&Appr","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Political Communication","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 296 of 430",""
