"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","143","3.872","80.4","12.6","4.2","1.4",".",".",".","0.7",".",".",".",".","0.7",".",".","."
"","002
301","117","3.816","75.2","18.8","4.3","0.9",".",".","0.9",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","260","3.847","78.1","15.4","4.2","1.2",".",".","0.4","0.4",".",".",".",".","0.4",".",".","."
"","320
001","129","3.617","53.5","25.6","13.2","3.9","3.1",".",".","0.8",".",".",".",".",".",".",".","."
"","002
320","119","3.722","62.2","22.7","9.2","3.4","0.8",".",".","1.7",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","248","3.667","57.7","24.2","11.3","3.6","2.0",".",".","1.2",".",".",".",".",".",".",".","."
"","321
001","109","3.472","27.5","48.6","20.2","1.8","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"","321
002","110","3.527","40.0","36.4","14.5","7.3","1.8",".",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","Course Total","219","3.500","33.8","42.5","17.4","4.6","1.4",".","0.5",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","65","3.548","49.2","20.0","18.5","6.2","3.1",".",".","1.5",".",".",".",".","1.5",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","79","3.885","81.0","13.9","2.5","1.3",".",".",".",".",".",".",".",".","1.3",".",".","."
"Behavior Analysis in Classrms","541
001","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","11","3.885","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
029","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
031","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","51","3.976","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","34","3.955","91.2","8.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Adolescent Development","721
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych of Individual Difference","736
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","740
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
001","33","3.938","84.8","12.1",".",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","761
002","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","61","3.942","88.5","8.2","1.6",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Scaling, Factr&Cluster Anal","773
001","34","3.897","79.4","20.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MSPE Capstone","791
001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Learning Sciences II","796
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827
001","12","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 96 of 430"
