"","699
014","2","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
041","1","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Directed Reading","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","704
001","5","***","","","","","","","","","","",".",".","",".","","",".",".",".","."
"CLASSICS
244","Dept. Total","672","3.286","35.9","27.5","19.5","4.8","4.8","3.3","2.5","1.3","",".",".","",".","",".","",".","0.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","2.891","23.6","18.2","34.5","3.6","5.5","7.3","7.3",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","192","3.168","28.6","28.1","21.9","7.3","6.8","4.7","2.1","0.5","",".",".","",".","",".","",".",".",".","."
"Junior","","146","3.342","37.7","30.1","18.5","4.1","5.5","1.4","2.7",".","",".",".","",".","",".","",".",".",".","."
"Senior","","259","3.414","42.5","29.7","15.8","3.9","2.7","2.7","1.9","0.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","652","3.281","35.7","28.4","19.8","4.9","4.8","3.4","2.6","0.5","",".",".","",".","",".","",".",".",".","."
"Special","","13","3.400","23.1",".","7.7",".","7.7",".",".","38.5","",".",".","",".","",".","",".","7.7","15.4","."
"Graduate","","7","3.833","71.4",".","14.3",".",".",".",".","14.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","672","3.286","35.9","27.5","19.5","4.8","4.8","3.3","2.5","1.3","",".",".","",".","",".","",".","0.1","0.3","."
