"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","5","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","14","3.078","21.4","28.6","28.6","14.3",".","",".","7.1",".","",".",".","",".",".",".",".",".","."
"Senior","29","3.717","62.1","13.8","13.8","6.9",".","",".",".",".","",".",".","",".",".","3.4",".",".","."
"Undergraduates","49","3.472","46.9","20.4","18.4","8.2","2.0","",".","2.0",".","",".",".","",".",".","2.0",".",".","."
"Special","5","***","","","","","","","","","","","",".","",".",".",".","20.0",".","."
"Graduate","133","3.863","75.9","13.5","3.0",".","0.8","",".",".","3.8","",".",".","",".","2.3","0.8",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","6","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","7","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
