"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"201
Discovering Food Science","001","","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","3.940","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"301
Intro to Sci & Technol of Food","001","","49","2.878","8.2","30.6","30.6","14.3","6.1","8.2","2.0",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","48","3.489","29.2","47.9","14.6","2.1","4.2",".",".",".",".",".",".",".","2.1",".",".","."
"375","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","18","3.708","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","28","3.806","60.7","39.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
Food Analysis","001","","42","3.107","16.7","40.5","21.4","4.8","11.9","2.4","2.4",".",".",".",".",".",".",".",".","."
"432
Principles-Food Preservation","001","","57","2.625","14.0","10.5","24.6","7.0","33.3","7.0","1.8","1.8",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","24","3.457","33.3","37.5","20.8",".",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"514
Integrated Food Functionality","001","","43","2.869","11.6","4.7","48.8","11.6","20.9",".",".",".","2.3",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Fermented Foods and Beverages","001","","50","3.024","22.0","10.0","14.0","26.0","8.0","2.0",".","18.0",".",".",".",".",".",".",".","."
"603
Senior Seminar","001","","42","3.179","31.0","19.0","26.2","11.9","7.1","4.8",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"900
Seminar Advanced","001","","38","3.563","7.9","7.9","5.3",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
