"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","44","3.159","38.6","15.9","22.7","6.8","9.1","2.3","4.5",".",".","",".",".","",".","",".",".",".","."
"Indians of Wisconsin","250
001","41","3.282","22.0","29.3","24.4","19.5",".",".",".","4.9",".","",".",".","",".","",".",".",".","."
"Native Peoples of Southwest","320
001","41","3.634","68.3","9.8","9.8","4.9","7.3",".",".",".",".","",".",".","",".","",".",".",".","."
"American Indian Folklore","431
001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Native Amer Envir Iss & Media","444
001","28","3.788","60.7","25.0","7.1",".",".",".",".","3.6",".","",".",".","",".","","3.6",".",".","."
"","450
006","20","3.944","85.0",".","5.0",".",".",".",".","5.0",".","",".",".","",".","","5.0",".",".","."
"","013
450","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Issues in Amer Ind Studies","Course Total","29","3.852","75.9","6.9","10.3",".",".",".",".","3.4","",".",".","",".","",".","3.4",".",".","."
"Poverty and Place","578
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","198","3.513","51.5","17.7","15.7","6.6","3.5","0.5","1.0","2.0","",".",".","",".","",".","1.0","0.5",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.111","20.0","10.0","40.0","10.0","10.0",".",".",".","",".",".","",".","",".","10.0",".",".","."
"Sophomore","","51","3.284","43.1","17.6","17.6","11.8","5.9",".","3.9",".","",".",".","",".","",".",".",".",".","."
"Junior","","53","3.660","67.9","9.4","17.0","1.9","1.9","1.9",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","80","3.610","52.5","23.8","11.3","6.3","2.5",".",".","1.3","",".",".","",".","",".","1.3","1.3",".","."
"Undergraduates","","194","3.513","52.6","17.5","16.0","6.7","3.6","0.5","1.0","0.5","",".",".","",".","",".","1.0","0.5",".","."
"Special","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","198","3.513","51.5","17.7","15.7","6.6","3.5","0.5","1.0","2.0","",".",".","",".","",".","1.0","0.5",".","."
