"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","2730","1.295","8.8","0.1","17.3","",".","2.5","0.4","0.1","27.0","",".",".","",".","",".","0.3",".","0.1","1.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Special","","28","1.525","7.1","7.1","14.3","",".","7.1",".",".","28.6","",".",".","",".","",".",".",".",".","."
"Graduate","","17","3.776","41.2","5.9","11.8","",".",".",".",".","41.2","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","786","1.291","9.8",".","28.1","",".","2.5","0.4","0.1","0.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","742","1.193","7.5",".","12.0","",".","2.7","0.1",".","37.7","",".",".","",".","",".","0.7",".",".","1.5"
"Prof Yr 3","","942","1.371","7.7",".","13.4","",".","1.8","0.4","0.2","43.1","",".",".","",".","",".","0.1",".",".","2.0"
"Prof Yr 4","","215","1.178","11.2","0.5","14.4","",".","4.2","0.9",".","15.8","",".",".","",".","",".","0.5",".","1.9","."
"Professionals","","2685","1.280","8.6","0.0","17.4","",".","2.5","0.4","0.1","26.9","",".",".","",".","",".","0.3",".","0.1","1.1"
"","College Total","2730","1.295","8.8","0.1","17.3","",".","2.5","0.4","0.1","27.0","",".",".","",".","",".","0.3",".","0.1","1.1"
