"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","22","3.545","59.1","18.2","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","11","3.136","18.2","27.3","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"420
Urban & Regional Economics","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"505
Urban Spatial Patterns&Thry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Hist Geog-European Urbanztn","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","002","","12","3.603","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","36","3.822","80.6","11.1","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Site Planning","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"821
Rsrce Pol Iss:Regional&Natl","001","","11","3.700","63.6","18.2",".",".","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"833
Planning & the Legal System","001","","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Theory&Practice-Ed Planning","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Smr-Land Probs:Institnl Dev","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"999","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
