"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","211","3.524","54.0","16.6","19.9","4.7","1.9","2.8",".",".",".",".",".",".",".",".",".","."
"421
Intro-Drug Actn&Delivery II","001","","127","3.028","8.7","33.1","29.9","15.0","10.2","2.4",".",".",".",".",".",".","0.8",".",".","."
"430
Biol Interactions w/ Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","151","3.412","45.0","12.6","29.1","6.0","3.3","1.3","0.7",".",".",".",".",".","2.0",".",".","."
"531
Medicinal Chemistry I","001","","126","3.540","46.8","22.2","23.8","4.0","2.4",".",".",".",".",".",".",".","0.8",".",".","."
"532
Medicinal Chemistry II","001","","132","3.492","46.2","23.5","16.7","7.6","5.3",".",".",".",".",".",".",".",".",".","0.8","."
"541
Drug Delivery Systems Lab I","001","","126","3.655","57.1","23.8","14.3","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775
Polymeric Drug Delivery","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"786
Natrl Prod Synth&Drug Discovry","001","","14","3.321","21.4","21.4","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","003","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","016","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","49","",".",".",".",".",".",".",".","83.7",".",".",".","16.3",".",".",".","."
