"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"FAM MED","","","","","","","","","","","","","","","","","","",""
"Senior","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Undergraduates","","1","***","","","","","","","","","",".",".",".",".",".","100.0","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 1","","10","",".",".",".",".",".",".",".",".",".","80.0",".",".",".",".","20.0","."
"Prof Yr 2","","17","",".",".",".",".",".",".",".",".",".","94.1",".",".",".",".","5.9","."
"Prof Yr 3","","1","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 4","","14","3.688","42.9","7.1","21.4",".",".",".",".",".",".","21.4",".",".",".",".","7.1","."
"Professionals","","42","3.688","14.3","2.4","7.1",".",".",".",".",".",".","66.7",".",".",".",".","9.5","."
