"LEGAL STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","001","","96","3.219","14.6","30.2","44.8","7.3","2.1","1.0",".",".",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","","23","3.609","69.6","4.3","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to Pres","262","001","","32","3.069",".","34.4","40.6","9.4","6.3",".",".",".",".",".",".",".","6.3","3.1",".","."
"","400","014","","51","3.931","88.2","9.8","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","018","","69","3.181","11.6","30.4","42.0","14.5","1.4",".",".",".",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","","Course Total","","120","3.500","44.2","21.7","25.0","8.3","0.8",".",".",".",".",".",".",".",".",".",".","."
"Law and Environment","430","001","","14","3.208","14.3","21.4","35.7","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Law in Action","444","001","","58","3.679","51.7","31.0","10.3","3.4",".",".",".",".",".",".",".",".","3.4",".",".","."
"Topic:Legal Studies&Humanities","450","022","","23","3.333","8.7","52.2","21.7","8.7",".",".",".",".",".",".",".",".","8.7",".",".","."
"Surv, Privacy, Police Powers","460","001","","45","3.419","28.9","31.1","26.7","8.9",".",".",".","2.2",".",".",".",".","2.2",".",".","."
"Legal Pluralism","510","001","","23","3.159","13.0","34.8","21.7","21.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","","24","3.304","29.2","29.2","16.7","12.5","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"Senior Honors Thesis","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Crimnl Justice Fld Observtn","694","001","","22","3.523","59.1","9.1","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","6","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","9","3.940","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
