"ZOOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Introduction to Entomology","302","001","14","3.107","7.1","28.6","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335","001","83","2.889","14.5","25.3","25.3","6.0","20.5","3.6","2.4",".",".",".",".",".",".",".","2.4","."
"Parasitology","350","001","55","2.491","10.9","7.3","41.8","3.6","14.5","16.4","5.5",".",".",".",".",".",".",".",".","."
"Medical Entomology","371","001","21","3.476","47.6","19.0","23.8",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","400","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","50","3.080","16.0","26.0","30.0","14.0","14.0",".",".",".",".",".",".",".",".",".",".","."
"Behavioral Ecology","425","001","101","3.355","41.6","16.8","27.7","5.9","3.0","3.0","1.0",".",".",".",".",".",".",".","1.0","."
"General Ecology","460","001","25","3.646","64.0","8.0","16.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"General Genetics","466","001","17","2.750","17.6","11.8","17.6","23.5","17.6",".","5.9",".",".",".",".",".",".",".","5.9","."
"Intro to Animal Development","470","001","106","3.057","28.3","19.8","19.8","8.5","18.9","4.7",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","42","3.071","26.2","4.8","45.2","4.8","19.0",".",".",".",".",".",".",".",".",".",".","."
"","511","001","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","511","002","7","3.500","57.1","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","18","3.389","38.9","22.2","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","520","001","80","2.538","17.5","7.5","23.8","2.5","33.8","6.3","6.3","2.5",".",".",".",".",".",".",".","."
"","521","001","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","002","18","3.556","66.7",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","521","003","15","3.700","73.3","6.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","521","004","10","3.250","50.0",".","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","","Course Total","58","3.569","63.8","5.2","20.7","1.7","8.6",".",".",".",".",".",".",".",".",".",".","."
"Neurobi II:Intr-Brain&Behav","524","001","29","3.370","48.3","13.8","13.8",".","13.8","3.4",".","6.9",".",".",".",".",".",".",".","."
"Principles-Landscape Ecology","565","001","6","2.583","16.7",".","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Genes and Disorders Lab","604","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Comparatv&Evolutionry Physiol","611","001","47","2.670","14.9","10.6","31.9","12.8","12.8","17.0",".",".",".",".",".",".",".",".",".","."
"Comparative Physiology Lab","612","001","24","3.708","62.5","16.7","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","9","2.813",".","22.2","11.1","55.6",".",".",".",".",".",".",".",".","11.1",".",".","."
"","682","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Directed Study","698","059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 338 of 430",""
