"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","58","3.078","32.8",".","44.8","1.7","17.2","3.4",".",".",".",".",".",".",".",".",".","."
"","002
300","122","3.115","32.8","10.7","33.6","2.5","16.4","3.3","0.8",".",".",".",".",".",".",".",".","."
"","010
300","142","2.715","19.0","5.6","38.7","2.1","26.1","2.1","6.3",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","322","2.932","26.7","6.5","37.9","2.2","20.8","2.8","3.1",".",".",".",".",".",".",".",".","."
"","305
001","62","3.484","33.9","37.1","24.2","1.6","3.2",".",".",".",".",".",".",".",".",".",".","."
"","305
002","32","3.422","21.9","46.9","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","94","3.463","29.8","40.4","24.5","3.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"Social Entrepreneurship","321
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","55","3.700","56.4","29.1","12.7","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","56","3.679","53.6","30.4","14.3","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","Course Total","111","3.689","55.0","29.7","13.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","15","3.233","33.3","20.0","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"","003
365","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","365
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
005","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","63","3.669","57.1","27.0","9.5","3.2",".","1.6",".",".",".",".",".",".","1.6",".",".","."
"","399
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
130","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","3","***","","","","","","","","","","","","","","","",""
"The Management of Teams","401
001","33","3.576","21.2","72.7","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","24","3.896","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","412
001","19","3.594","47.4","10.5","21.1","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"","422
001","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","37","3.784","62.2","32.4","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","61","3.803","65.6","29.5","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
001","31","3.532","54.8","16.1","12.9","12.9","3.2",".",".",".",".",".",".",".",".",".",".","."
"","423
002","37","3.541","40.5","37.8","13.5","5.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","68","3.537","47.1","27.9","13.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
002","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Entrepreneurship","441
001","23","3.457","30.4","34.8","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","28","3.804","67.9","25.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
002","36","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","64","3.820","73.4","17.2","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Mgmt of Innovation","001
715","43","3.893","81.4","11.6","4.7",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"Entrepreneurial Management","722
001","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","49","3.561","32.7","49.0","16.3","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
723","48","3.406","20.8","43.8","31.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","23","3.500","39.1","26.1","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
