"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Honors in Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"491","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"491","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","093","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","39","3.978","92.3","5.1",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"492","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"492","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","001","","17","3.500","29.4","41.2","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","Course Total","","18","3.472","27.8","38.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Macromolecular Hydrodynamics","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","30","3.433","40.0","26.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","46","3.359","30.4","37.0","19.6","4.3","6.5","2.2",".",".",".",".",".",".",".",".",".","."
"573","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"573","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Fluid Dynamcs","Course Total","","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"577
Automatic Controls Lab","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","19","2.938","36.8",".","15.8",".","26.3",".","5.3",".","5.3",".",".",".",".",".","10.5","."
"601","005","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","39","3.444","56.4","10.3","10.3",".","12.8",".","2.6",".","2.6",".",".",".",".",".","5.1","."
"641
Design & Anal-Manufact Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
