"Where Science Meets Society","201
001","","36","3.429","41.7","27.8","19.4",".","","5.6","",".","2.8","2.8",".","",".",".","",".","","",".",".",".","."
"Sci, Technol & Med in Society","901
001","","8","3.813","75.0","12.5","12.5",".","",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"Current Topics-Sci & Tech St","902
001","","3","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"STS
875","Dept. Total","","47","3.500","44.7","23.4","17.0","",".","4.3","",".","2.1","2.1","",".","4.3","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.000",".","33.3","50.0","",".","16.7","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","10","3.150","30.0","30.0","30.0","",".",".","",".","10.0",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","15","3.667","60.0","26.7","6.7","",".","6.7","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","35","3.429","42.9","28.6","20.0","",".","5.7","",".","2.9",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","11","3.813","54.5","9.1","9.1","",".",".","",".",".",".","",".","18.2","",".","",".","",".",".",".","."
"","Dept. Total","","47","3.500","44.7","23.4","17.0","",".","4.3","",".","2.1","2.1","",".","4.3","",".","",".","",".",".",".","."
