"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"621","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"621","017","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"621","023","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"621","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"621","039","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","040","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"621","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"621","055","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621","065","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mentored Research and Seminar","Course Total","","119","3.997","98.3",".","0.8",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"693
Animal Behavior Problems","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Probs-Clinical Psychology","024","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"697
Problems in Human Behavior","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 302 of 430",""
