"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
002","23","3.217","26.1","21.7","26.1","21.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","003
160","22","3.250","45.5","9.1","18.2","22.7",".",".","4.5",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","45","3.233","35.6","15.6","22.2","22.2","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","170
002","17","3.063","17.6","35.3","11.8","11.8","11.8","5.9",".","5.9",".",".",".",".",".",".",".","."
"","003
170","24","3.083","16.7","37.5","20.8","12.5","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"","170
004","23","3.022","17.4","26.1","30.4","13.0","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","64","3.056","17.2","32.8","21.9","12.5","7.8","4.7","1.6","1.6",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","160","2.875","23.1","22.5","16.9","18.8","6.9","5.0","6.9",".",".",".",".",".",".",".",".","."
"Dynamics","240
001","155","3.000","16.8","20.0","28.4","18.7","14.2","0.6","0.6",".",".",".",".",".",".","0.6",".","."
"Undergrad Mech Engr Project","291
050","48","3.918","85.4","10.4","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","56","2.845","17.9","16.1","25.0","14.3","17.9","5.4","1.8",".",".",".",".",".","1.8",".",".","."
"","002
306","80","3.227","26.3","17.5","32.5","10.0","6.3","1.3",".",".",".",".",".",".","6.3",".",".","."
"Mechanics of Materials","Course Total","136","3.065","22.8","16.9","29.4","11.8","11.0","2.9","0.7",".",".",".",".",".","4.4",".",".","."
"","307
001","7","2.929","14.3",".","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.000","11.1","11.1","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","003
307","12","2.667","8.3","16.7","16.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","004
307","14","3.143","14.3","35.7","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","3.056","11.1","22.2","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","3.111","22.2",".","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","008
307","6","2.917",".","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","10","2.950","10.0","20.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","011
307","13","3.077","23.1","30.8","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","012
307","6","2.917","33.3",".","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","307
013","8","2.938","12.5",".","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"","014
307","7","3.071","14.3","28.6","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","114","2.974","14.0","17.5","35.1","21.1","9.6","2.6",".",".",".",".",".",".",".",".",".","."
"","313
001","55","3.296","18.2","38.2","25.5","16.4",".",".",".",".",".",".",".",".","1.8",".",".","."
"","002
313","65","3.300","7.7","52.3","33.8","4.6","1.5",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","120","3.298","12.5","45.8","30.0","10.0","0.8",".",".",".",".",".",".",".","0.8",".",".","."
"","314
001","48","3.170","12.5","31.3","33.3","18.8","2.1",".",".",".",".",".",".",".","2.1",".",".","."
"","002
314","47","3.117","10.6","31.9","31.9","21.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Fundamentals","Course Total","95","3.144","11.6","31.6","32.6","20.0","3.2",".",".",".",".",".",".",".","1.1",".",".","."
"","001
331","39","3.205","12.8","35.9","35.9","10.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"","331
002","71","3.050","11.3","28.2","26.8","23.9","8.5",".",".",".","1.4",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","Course Total","110","3.106","11.8","30.9","30.0","19.1","7.3",".",".",".","0.9",".",".",".",".",".",".","."
