"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","",""
"Community Newswriting","130
001","","43","3.837","76.7","18.6","2.3",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","299
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
299","","7","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.962","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprofit Sector: Overview","300
001","","34","3.273","17.6","35.3","29.4","11.8","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Strategic Plan-Nonprofit Orgs","345
001","","29","3.810","65.5","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
001","","30","3.950","96.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Iss & Serv Learng","Course Total","","40","3.913","87.5","10.0",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","20","3.725","70.0","25.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","36","3.755","69.4","25.0","2.8",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","","18","3.912","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meths-Teachng Fam & Consumr Ed","427
001","","41","2.921","17.1","19.5","17.1","19.5","17.1",".","2.4",".",".",".",".",".","2.4","4.9",".","."
"Leadership&Mgt-Nonprofit Orgs","460
001","","26","3.538","57.7","15.4","15.4","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"","501
001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
501","","19","3.588","63.2","10.5","5.3",".","5.3","5.3",".",".",".",".",".",".","10.5",".",".","."
"","501
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","42","3.750","73.8","9.5","4.8","2.4","2.4","2.4",".",".",".",".",".",".","4.8",".",".","."
"Community Leadershp","560
001","","33","3.879","87.9","6.1","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Community Based Resrch & Eval","570
001","","38","3.803","63.2","34.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","650
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","793
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
793","","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Research Methods","Course Total","","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","990
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
