"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"XML and Linked Data","652
001","","14","3.750","71.4","21.4",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654
001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","12","3.542","41.7","41.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
655","","9","3.389","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","655
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Collection Management","Course Total","","22","3.409","36.4","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","661
001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
002","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Ethics and Policy","Course Total","","22","3.818","68.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Curation","668
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Public Library","Course Total","","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","734
001","","16","3.900","75.0","18.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","734
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","Course Total","","18","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","751
001","","11","3.591","54.5","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
751","","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","25","3.600","52.0","28.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","755
001","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
002","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","Course Total","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archive Accessioning&Appraisal","818
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Community Engagement","820
001","","12","3.906","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","822
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in User Services","847
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","853
001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","853
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Metadata Standards & Apps","Course Total","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Architecture","861
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Use&Users in Context","940
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","999
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
