"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","010","","8","2.750","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","011","","29","0.714","6.9",".","13.8",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"940","012","","19","1.196","5.3",".","26.3",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"940","013","","13","0.706",".",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","021","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"940","033","","15","1.071","6.7",".","20.0",".","6.7",".",".",".",".",".",".",".",".",".","6.7","."
"Law & Contemporary Problems","Course Total","","241","1.301","12.0","0.4","21.6",".","1.7",".",".","8.3",".",".",".",".",".",".","0.4","0.4"
"950","001","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"950","002","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".",".",".","6.3"
"950","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","54","",".",".",".",".",".",".",".","98.1",".",".",".",".",".",".",".","1.9"
"954
Corporate Finance Law","001","","33","1.097","12.1",".","18.2",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"955
Publ Sect Labor Rel Law Sem","001","","18","1.400","5.6",".","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"988
Select Probs-Envrnmtl Law","001","","9","0.875","11.1",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","47","",".",".",".",".",".",".",".","95.7",".",".",".",".","4.3",".",".","."
"991","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 345 of 430",""
