"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","18","3.351","33.3","22.2","33.3","5.6","5.6",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","54","3.398","55.6","5.6","20.4","5.6","7.4","1.9",".",".",".",".","",".",".","1.9","1.9",".","."
"Senior","","152","3.262","44.1","16.4","20.4","3.9","9.2","4.6","0.7",".",".",".","",".",".",".",".",".","0.7"
"Undergraduates","","227","3.293","45.4","14.5","21.6","4.4","8.8","3.5","0.4",".",".",".","",".",".","0.4","0.4",".","0.4"
"Special","","7","3.763","57.1","14.3","14.3",".",".",".",".",".","14.3",".","",".",".",".",".",".","."
"Graduate","","107","3.790","19.6","3.7","1.9",".",".",".",".","18.7",".","37.4","",".","18.7",".",".",".","."
"","Dept. Total","341","3.344","37.5","11.1","15.2","2.9","5.9","2.3","0.3","5.9","0.3","11.7","",".","5.9","0.3","0.3",".","0.3"
