"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Signals, Information & Comp","203
001","85","2.625","11.8","3.5","29.4","21.2","28.2","2.4","2.4","1.2",".",".",".",".",".",".",".","."
"Intro Electrical Engr","210
001","133","3.989","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","93","3.823","82.8","6.5","6.5","1.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","84","3.012","20.2","14.3","36.9","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","113","3.035","31.0","23.9","15.9","8.0","11.5","5.3","4.4",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","55","2.918","23.6","9.1","21.8","21.8","21.8","1.8",".",".",".",".",".",".",".",".",".","."
"","252
001","62","3.379","46.8","19.4","14.5","11.3","3.2","4.8",".",".",".",".",".",".",".",".",".","."
"","002
252","49","3.643","51.0","34.7","8.2","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","111","3.495","48.6","26.1","11.7","8.1","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","270
001","54","3.463","50.0","13.0","27.8","1.9","5.6","1.9",".",".",".",".",".",".",".",".",".","."
"","270
002","44","3.273","40.9","20.5","20.5","6.8","4.5","4.5","2.3",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","98","3.378","45.9","16.3","24.5","4.1","5.1","3.1","1.0",".",".",".",".",".",".",".",".","."
"","271
001","26","3.404","30.8","50.0","7.7","7.7",".",".","3.8",".",".",".",".",".",".",".",".","."
"","271
002","29","3.621","44.8","41.4","6.9","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","55","3.518","38.2","45.5","7.3","7.3",".",".","1.8",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","13","3.458","30.8","23.1","38.5",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Linear Active Circuits Lab","306
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
313","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","25","3.740","56.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","47","3.840","72.3","23.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","001
317","18","3.556","38.9","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","100","3.318","29.0","29.0","24.0","10.0","7.0",".",".",".",".",".",".",".","1.0",".",".","."
"Intro-Random Sig Anal&Stats","331
001","17","2.647","17.6","5.9","17.6","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","15","2.964","6.7","33.3","33.3","13.3",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","93","3.054","22.6","18.3","30.1","16.1","8.6","3.2","1.1",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","59","3.059","18.6","22.0","30.5","16.9","10.2",".","1.7",".",".",".",".",".",".",".",".","."
"","352
001","77","3.195","19.5","24.7","35.1","16.9","3.9",".",".",".",".",".",".",".",".",".",".","."
"","002
352","26","2.846","3.8","30.8","19.2","23.1","23.1",".",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","103","3.107","15.5","26.2","31.1","18.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","58","3.121","41.4","13.8","12.1","13.8","13.8",".","5.2",".",".",".",".",".",".",".",".","."
"","354
001","35","3.614","68.6","11.4","5.7","8.6","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","354
002","51","3.324","51.0","23.5","3.9","5.9","7.8","3.9","3.9",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","86","3.442","58.1","18.6","4.7","7.0","5.8","3.5","2.3",".",".",".",".",".",".",".",".","."
"","001
355","31","3.583","41.9","32.3","19.4","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"","355
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
355","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","38","3.595","42.1","34.2","18.4","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"","001
370","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 119 of 430",""
