"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","",""
"Lt Tran:Dante-Divine Comedy","253","001","21","2.875","14.3","28.6","28.6","4.8","4.8","9.5","4.8",".",".",".",".",".",".",".","4.8","."
"In Trans:Mythlgy-Scandnavia","342","001","6","3.300","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"In Transl:Scand Tale&Ballad","345","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topic in Medieval Literature","423","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","427","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Francis of Assisi: Lit/Arts","440","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Medieval Lit","504","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Old English Lit","521","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","38","3.170","26.3","28.9","21.1","5.3","5.3","5.3","2.6",".",".",".",".",".","2.6",".","2.6","."
