"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
001","99","3.148","14.1","31.3","36.4","10.1","5.1","1.0","1.0",".",".",".",".",".",".",".","1.0","."
"","134
001","202","3.228","24.3","25.7","30.2","11.9","7.4","0.5",".",".",".",".",".",".",".",".",".","."
"","134
002","199","3.241","26.6","27.6","24.1","11.6","9.5","0.5",".",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","401","3.234","25.4","26.7","27.2","11.7","8.5","0.5",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","138
001","88","2.938","12.5","22.7","33.0","17.0","10.2","2.3","2.3",".",".",".",".",".",".",".",".","."
"","140
001","27","3.537","44.4","33.3","18.5",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"","002
140","27","3.481","33.3","44.4","18.5",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","Course Total","54","3.509","38.9","38.9","18.5",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"Population Problems","170
001","286","3.327","34.3","33.2","12.6","10.5","7.0","1.4","1.0",".",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","49","3.347","26.5","49.0","16.3",".","2.0","4.1","2.0",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","102","3.332","26.5","34.3","24.5","9.8","2.0","2.0",".",".",".",".",".",".","1.0",".",".","."
"The Sociological Enterprise","211
001","51","3.140","25.5","23.5","21.6","7.8","19.6",".",".","2.0",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","62","3.556","38.7","41.9","16.1","1.6",".","1.6",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","18","3.500","38.9","38.9","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248
001","14","3.429","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","19","3.605","42.1","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","15","3.133","46.7","13.3","20.0",".","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","11","3.200","27.3","27.3",".","27.3","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"","320
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
115","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","350
001","96","3.005","26.0","11.5","28.1","14.6","12.5","4.2","1.0","2.1",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357
001","97","3.113","27.8","24.7","15.5","14.4","14.4","2.1","1.0",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360
001","55","2.709","12.7","27.3","18.2","9.1","20.0","7.3","5.5",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","29","3.448","27.6","41.4","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","113","3.000","36.3","14.2","15.0","10.6","11.5","5.3","5.3","1.8",".",".",".",".",".",".",".","."
"","475
001","23","2.318",".","8.7","8.7","43.5","26.1","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"","003
475","28","3.411","35.7","28.6","25.0","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","004
475","13","2.962","15.4","7.7","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","005
475","22","3.318","36.4","27.3","27.3",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","86","3.035","23.3","19.8","23.3","17.4","11.6","1.2","2.3","1.2",".",".",".",".",".",".",".","."
"","496
003","32","3.078","34.4","28.1","9.4","12.5","3.1","6.3","6.3",".",".",".",".",".",".",".",".","."
"","496
004","12","3.792","83.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","496
006","20","3.025","25.0","25.0","25.0",".","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","007
496","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
008","11","3.500","54.5","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","009
496","13","3.192","30.8","38.5","7.7",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","496
010","17","3.676","82.4",".","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","496
066","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","138","3.444","59.4","16.7","8.7","3.6","5.8","3.6","2.2",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530
001","34","2.788","14.7","14.7","20.6","20.6","20.6","5.9",".",".",".",".",".",".",".",".","2.9","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 318 of 430",""
