"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","22","3.344","13.6","31.8","18.2","9.1",".",".",".","13.6",".",".",".",".","13.6",".",".","."
"Black Music&Am Cultrl Hist","156","001","178","3.640","42.1","43.3","11.8","0.6","0.6",".",".","0.6",".",".",".",".","0.6","0.6",".","."
"Intro-Black Women Writers","222","001","71","3.786","63.4","31.0","2.8",".","1.4",".",".",".",".",".",".",".",".","1.4",".","."
"Masterpieces of Afro Amer Lit","227","001","91","3.600","58.2","24.2","9.9","2.2","1.1","1.1","2.2",".",".",".",".",".",".",".",".","1.1"
"Intro to Afro-Am History","231","001","95","3.511","48.4","15.8","26.3","5.3","3.2",".",".",".",".",".",".",".","1.1",".",".","."
"Intro to Afro-American Art","242","001","42","3.595","50.0","31.0","9.5","7.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","7","3.000","14.3","14.3","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","271","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","60","3.649","51.7","20.0","23.3",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","13","2.808","7.7","7.7","61.5",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","48","3.293","18.8","39.6","25.0","8.3","2.1","2.1",".",".",".",".",".",".","4.2",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","23","3.261","26.1","30.4","30.4","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","14","2.143","7.1","14.3","21.4","14.3","14.3","7.1","21.4",".",".",".",".",".",".",".",".","."
"Women-African Diaspora&Africa","367","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"19th Century Afro-Amer Lit","501","002","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"History of African-Amer Educ","567","001","13","3.818","53.8","30.8",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","7","3.667","57.1",".","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Afro-Am Hist Since 1900","636","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","001","8","3.667","37.5","25.0","12.5",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Perspctv-Black Women Writng","677","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
