"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"799","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"800","001","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"800","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"800","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Spec Topics-Art History","Course Total","","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"802","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"802","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Vis Cult: Topics in Vis Cult","Course Total","","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".",".",".",".",".","7.7","."
"856
Grad Smr-20th C Europn Art","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"867
Smr-American Architecture","001","","9","3.833","44.4","22.2",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
