"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"535
Intro-Particle Physics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Wkshp-College Physics Tchg","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Applied Optics","001","","30","3.643","36.7","50.0","3.3","3.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"715
Statistical Mechanics","001","","19","3.194","21.1","5.3","57.9","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","26","3.125","26.9","23.1","30.8",".","3.8",".","7.7",".",".",".",".",".","7.7",".",".","."
"724
Waves&Instabilities-Plasmas","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Quantum Mechanics","001","","28","3.339","25.0","42.9","25.0","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"736
Nuclear, Particle&Astrophysics","001","","16","3.367","31.3","31.3","12.5","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"832
Advanced Quantum Mechanics","001","","11","3.778","45.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1","9.1",".","."
"910
Seminar in Astrophysics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","029","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","036","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 293 of 430",""
