"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"840","002","","25","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","010","","23","3.739","65.2","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","011","","23","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","020","","20","3.575","30.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"840","021","","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","139","3.766","61.2","31.7","6.5","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"854
Crises Intervention-Soc Wrk","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Recent Developmnts-Soc Work","001","","13","3.867","69.2","23.1",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"870
Assessing and Treating Adults","001","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
Soc Work Practice in Hlth Care","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"887
Nonprofit Leadership","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"924","001","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"924","020","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","Course Total","","36","3.819","66.7","30.6","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","001","","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","010","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","011","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","020","","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Abuse","Course Total","","63","3.746","55.6","38.1","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"947
Student Research Seminar","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
PhD Proseminar","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"952
PhD Proseminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","3.952","55.6","11.1",".",".",".",".",".","22.2",".",".",".",".","11.1",".",".","."
