"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","16","3.688","87.5",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","155
001","18","3.472","27.8","44.4","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
155","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
155","18","3.528","22.2","66.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","17","3.147","17.6","29.4","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","155
005","17","3.412","29.4","41.2","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","006
155","12","3.208","16.7","33.3","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","007
155","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
155","18","3.676","50.0","27.8","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","155
009","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.474","42.1","42.1","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","155
011","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","169","3.497","37.9","34.9","19.5","4.7","1.8",".","0.6",".",".",".",".",".","0.6",".",".","."
"Teams & Engr Profession","265
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","19","3.553","36.8","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
275","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","17","3.588","29.4","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
007","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","123","3.715","55.3","33.3","10.6","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","16","3.367","12.5","56.3","12.5","12.5",".",".",".",".",".",".",".",".",".","6.3",".","."
"","397
002","17","3.206","23.5","41.2","17.6","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","003
397","15","3.464","26.7","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".","."
"","397
004","19","3.342","26.3","31.6","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","005
397","18","3.235","27.8","33.3","16.7","11.1",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"","006
397","18","3.333","27.8","38.9","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","007
397","18","3.417","16.7","55.6","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","008
397","19","3.389","26.3","26.3","36.8","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","009
397","22","3.455","36.4","22.7","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","14","3.500","21.4","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","20","3.250","5.0","45.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
012","18","3.278","5.6","50.0","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","19","3.395","21.1","42.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","20","3.325","25.0","35.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","015
397","22","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","20","3.300","15.0","50.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
017","20","3.400","15.0","50.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","315","3.352","20.6","41.9","27.3","6.7","1.6",".","0.6",".",".",".",".",".","0.6","0.6",".","."
"Tech Communications Intrshp","398
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","28","3.875","78.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 128 of 430",""
