"SCANDINAVIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","",""
"102","001","","11","3.409","36.4","36.4",".","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Norwegian","Course Total","","17","3.500","47.1","29.4",".","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"112
Second Semester Swedish","001","","11","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"122
Second Semester Danish","001","","6","3.333","33.3","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"202
Second Year Norwegian","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"212
Second Year Swedish","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"222
Second Year Danish","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"374","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"374","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand Lit-the 20th Century","Course Total","","3","***","","","","","","","","","","","","","","","",""
"401
Contemporary Scand Langs","001","","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"404
Languages of Northern Europe","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"407
Old Norse","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"409
Survey-Old Norse-Icelandc Lit","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Areas in Scandinavian Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"429
Mythology of Scandinavia","001","","10","3.600","60.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"432","001","","17","3.125","23.5","23.5",".","5.9","11.8","5.9",".","29.4",".",".",".",".",".",".",".","."
"432","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-Scand Since 1815","Course Total","","18","3.192","27.8","22.2",".","5.6","11.1","5.6",".","27.8",".",".",".",".",".",".",".","."
"433
Scandinavian Tale & Ballad","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"443","001","","35","3.894","80.0","8.6","5.7",".",".",".",".","2.9",".",".",".",".",".","2.9",".","."
"443","002","","20","3.350","55.0",".","25.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Sami Culture,Yesterday & Today","Course Total","","55","3.689","70.9","5.5","12.7",".","7.3",".",".","1.8",".",".",".",".",".","1.8",".","."
"475
Writing-HC Andersen for Majors","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.733","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"901
Seminar in Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 309 of 430",""
