"GENDER AND WOMENS STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Rsch in Women's/Gender Studies","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938
History of Sexuality","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Smnr:Topic-Gen & Women Studies","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"990
Research & Thesis","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"GEN&WS
963","Dept. Total","","1262","3.552","46.6","29.2","13.1","4.0","2.7","0.6","0.7","0.6",".","1.0",".","0.2","1.3",".","0.1","."
