"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"201
Insects and Human Culture","001","","124","3.573","50.8","31.5","8.9","5.6","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"302
Introduction to Entomology","001","","38","3.197","34.2","26.3","10.5","7.9","18.4","2.6",".",".",".",".",".",".",".",".",".","."
"351
Principles-Econ Entomology","001","","45","2.965","20.0","20.0","20.0","13.3","17.8","4.4",".","4.4",".",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"371
Medical Entomology","001","","25","3.680","64.0","16.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"472
Molecular Evolution","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"505
Plant-Microbe Interactions","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","24","3.868","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Entomology Teaching","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Seminar: Organismal Entomol","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","27","",".",".",".",".",".",".",".","25.9","3.7",".",".","70.4",".",".",".","."
