"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
035","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
120","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
163","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","35","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","268
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","071
269","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
171","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
101","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
102","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
103","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
104","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Music Education","300
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork in Music Communities","303
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311
001","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","319
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
002","28","3.482","53.6","14.3","21.4","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","Course Total","29","3.500","55.2","13.8","20.7","3.4","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","361
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural Study of Music","405
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Concert Band","41
001","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Middle Ages","411
001","12","3.417","41.7","16.7","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","14","2.864","21.4","7.1","28.6",".","7.1","14.3",".","21.4",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","25","3.420","48.0","16.0","16.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","283","3.995","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","43
001","94","3.978","96.8",".","2.1",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"","43
002","76","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","198","3.987","98.0","0.5","1.0",".",".",".",".","0.5",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 279 of 430",""
