"GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshman Seminar in Genetics","155","001","63","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","094","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","105","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","31","3.911","87.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","157","2.622","10.8","12.1","27.4","11.5","25.5","6.4","3.2",".",".",".",".",".","1.3",".","1.9","."
"Advanced Laboratory Procedures","471","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Evolution","472","001","8","3.375","37.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","545","001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","545","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory","","Course Total","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Cytogenetics","561","001","10","3.478","50.0","10.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Human Cytogenetics","562","001","20","3.200","5.0","40.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Genomics & Proteomics","564","001","20","3.825","75.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Genetics","566","001","50","3.765","70.0","10.0","18.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"The Central Nervous System","568","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Breast","569","001","8","3.313","37.5","12.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"The Gastrointestinal System","574","001","8","3.063","12.5","25.0","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Miscellaneous Systems","575","001","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Effusions","576","001","8","3.250","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","577","001","8","3.500","37.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"Genomic Science","626","001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Developmental Genetics","627","001","24","3.229","37.5","20.8","16.7","8.3","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Seminar-Clinical Cytogenetics","670","001","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","672","001","8","3.333","25.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".","25.0",".",".","."
"Seminar in Clinical Cytology","673","001","8","3.500","62.5",".","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","677","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677","010","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","Page 27 of 430"
