"","699
003","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
005","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
006","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","9","3.940","88.9","11.1",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"LEGAL ST
535","Dept. Total","493","3.392","33.1","26.8","26.2","9.1","2.0","0.2","",".","0.4","",".",".","",".","",".","2.0","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.208","8.3","33.3","50.0","8.3",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","105","3.229","21.0","25.7","36.2","7.6","4.8","1.0","",".",".","",".",".","",".","",".","3.8",".",".","."
"Junior","","132","3.488","38.6","28.8","20.5","8.3","0.8",".","",".",".","",".",".","",".","",".","3.0",".",".","."
"Senior","","239","3.436","36.8","26.4","23.8","10.0","1.7",".","",".","0.4","",".",".","",".","",".","0.8",".",".","."
"Undergraduates","","488","3.394","33.2","27.0","26.2","9.0","2.0","0.2","",".","0.2","",".",".","",".","",".","2.0",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".","",".",".","25.0",".","."
"Graduate","","1","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","493","3.392","33.1","26.8","26.2","9.1","2.0","0.2","",".","0.4","",".",".","",".","",".","2.0","0.2",".","."
