"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Gender, Race and Colonialism","315","001","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of American Capitalism","329","002","40","3.061","10.0","22.5","32.5","12.5","2.5",".","2.5","17.5",".",".",".",".",".",".",".","."
"","335","001","19","3.447","47.4","26.3","5.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","335","002","13","2.923","15.4","30.8","23.1","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Korean Histry, 1945 to present","","Course Total","32","3.234","34.4","28.1","12.5","12.5","9.4",".","3.1",".",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","23","3.043","39.1","17.4","17.4",".","13.0","8.7","4.3",".",".",".",".",".",".",".",".","."
"Seventeenth-Century Europe","351","001","28","3.464","25.0","32.1","25.0","3.6",".",".",".","14.3",".",".",".",".",".",".",".","."
"History-Europe Since 1945","359","001","47","3.163","10.6","27.7","29.8","12.8","4.3",".",".","14.9",".",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","001","19","3.405","15.8","52.6","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"China and World War II in Asia","363","002","34","3.554","44.1","20.6","11.8",".","2.9","2.9",".","17.6",".",".",".",".",".",".",".","."
"Women in History","392","001","42","3.432","33.3","31.0","14.3","2.4","4.8","2.4",".","11.9",".",".",".",".",".",".",".","."
"The US Since 1945","398","001","58","3.280","25.9","22.4","20.7","8.6","8.6",".",".","10.3",".",".",".",".","1.7",".","1.7","."
"History-American Education","412","001","22","3.523","40.9","27.3","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"History of Russia","418","002","32","3.381","12.5","25.0","28.1",".",".",".",".","25.0",".",".",".",".","9.4",".",".","."
"US Military History Since 1899","428","001","44","3.306","38.6","9.1","18.2","9.1","2.3","2.3","2.3","11.4",".",".",".",".","4.5","2.3",".","."
"History-Scand Since 1815","432","001","15","3.083","40.0",".","13.3",".","20.0","6.7",".","13.3",".",".",".",".","6.7",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","32","3.661","53.1","28.1","12.5",".","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"History of East Africa","444","001","10","2.889","20.0","20.0","30.0",".","10.0",".","10.0",".",".",".",".",".",".","10.0",".","."
"Hist of Equatorial Africa","445","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","15","3.885","66.7","20.0",".",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"Amer Environmental History","460","001","101","3.513","29.7","26.7","14.9","5.0","1.0",".",".","22.8",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","60","3.450","41.7","30.0","16.7","6.7","3.3",".","1.7",".",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eur Soc Hist 1914-Present","475","001","26","3.013","15.4","30.8","15.4","15.4",".","7.7","3.8","3.8",".",".",".",".","7.7",".",".","."
"","500","001","14","3.385","35.7","28.6","14.3",".","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"","500","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500","005","11","3.182","27.3","36.4","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","500","007","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","","Course Total","39","3.539","53.8","23.1","12.8",".","5.1",".","2.6","2.6",".",".",".",".",".",".",".","."
"History at Work","505","001","17","3.893","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","506","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal Pluralism","510","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","515","001","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","515","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","","Course Total","19","3.763","68.4","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517","001","12","3.545","41.7","33.3","8.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History Medicine-Latin America","564","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","10","3.500","40.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 240 of 430",""
