"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"Technical Editing","497
001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Independent Study","499
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","","31","3.850","77.4","16.1",".",".","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"Japanese for Politics&Govrnmnt","602
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","604
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
604","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"Rsch-Japanese Technical Lit","Course Total","","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".",".","44.4",".",".","."
"Communicating Technical Info","617
001","","28","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Ldrshp&Mngmt of Engr Orgs","618
001","","31","3.883","87.1","3.2","3.2",".","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"Engine Design I","622
001","","13","3.083","23.1","15.4","38.5",".","7.7","7.7",".",".",".",".",".",".","7.7",".",".","."
"Engine Project Management","626
001","","33","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Perspectives - Engine Modeling","627
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engine-Legis Drivers&Alt Fuels","643
001","","33","4.000","93.9",".",".",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"","654
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","654
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching in Science & Engr","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","661
003","","14","3.577","71.4","7.1","7.1",".",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"Ind Ecology: Sustainability","Course Total","","15","3.607","73.3","6.7","6.7",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"Engr Sustain Sem and Conf","663
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sustainable Systems Capstone","669
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
001","","6","3.556","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
002","","16","3.469","31.3","56.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","690
006","","19","3.395","31.6","31.6","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
033","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
034","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Special Topics in E P D","Course Total","","75","3.752","57.3","28.0","8.0","4.0",".","1.3",".",".",".",".",".",".","1.3",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.900","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
