"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","6188","2.958","25.4","12.2","24.2","10.4","15.5","3.7","1.5","4.9","0.1","1.4","",".","0.6","0.0","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","705","2.762","17.4","11.2","26.8","13.0","23.5","7.1","0.7",".",".",".","",".",".","0.1",".",".","."
"Sophomore","","2060","2.968","24.9","14.0","26.4","12.7","16.7","3.8","1.5",".",".",".","",".",".",".",".",".","0.0"
"Junior","","1556","2.963","27.2","11.0","27.8","10.7","17.7","3.5","2.0",".",".","0.1","",".",".",".",".",".","0.1"
"Senior","","1097","2.958","29.0","13.1","25.2","10.6","15.4","3.9","2.4","0.3",".",".","",".",".",".",".","0.1","0.1"
"Undergraduates","","5418","2.933","25.4","12.6","26.6","11.7","17.6","4.2","1.7","0.1",".","0.0","",".",".","0.0",".","0.0","0.1"
"Special","","51","3.203","49.0","7.8","11.8","5.9","9.8","5.9","3.9","2.0",".",".","",".",".",".",".","3.9","."
"Graduate","","911","3.623","39.7","7.4","5.5","0.4","0.3",".",".","32.8","0.4","9.0","",".","4.1",".","0.1","0.2","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","6382","2.958","27.6","11.8","23.5","10.1","15.1","3.6","1.5","4.8","0.1","1.3","",".","0.6","0.0","0.0","0.1","0.0"
