"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"Peer Ldrshp&Mntrshp-Trans Stdt","350
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","","21","3.238","61.9","4.8",".","4.8","19.0","9.5",".",".",".",".",".",".",".",".",".","."
"","502
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","46","3.787","82.6","2.2",".","2.2","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","700
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
002","","17","3.781","52.9","41.2",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Field Experience-Ed Ldrship","Course Total","","22","3.816","54.5","31.8",".",".",".",".",".",".",".",".",".",".","13.6",".",".","."
"Intro-Higher & Post-Sec Ed","701
001","","13","3.423","38.5","53.8",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Eval & Support Quality Teachng","703
001","","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Intro to Qualitative Research","719
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725
001","","15","3.533","66.7","13.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Data-Based Decision-Making","726
001","","15","3.857","73.3","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"HPE Capstone Seminar","777
001","","8","3.750","25.0","25.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II","789
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surveys/Quant Data Collection","827
001","","10","3.938","70.0","10.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Financng Postsecondry Educ","831
001","","8","3.375","25.0","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Public School Law","840
001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841
001","","23","4.000","87.0",".",".",".",".",".",".",".",".",".",".",".","13.0",".",".","."
"School-Level Leadership","845
001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"The Politics of Education","870
001","","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","881
001","","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","881
002","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","Course Total","","30","3.817","86.7","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"","890
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
203","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","940
001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","940
002","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
004","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
007","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
940","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
013","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 91 of 430",""
