"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","996
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
236","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
276","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Research-Graphics","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
001","7","3.500","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","999
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
003","10","3.938","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
999","13","3.946","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
012","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
014","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","999
015","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
024","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","055
999","13","3.960","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
068","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
074","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
080","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","191","3.963","93.2","3.1","0.5","0.5",".",".",".",".",".",".",".",".","1.0",".","1.6","."
