"DESIGN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","65","3.054","13.8","33.8","38.5","1.5","4.6","3.1","4.6",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154
001","20","3.625","55.0","25.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking for 3D Forms","215
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","31","3.355","16.1","48.4","29.0","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221
001","21","3.425","33.3","38.1","9.5","4.8","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"Apparel Design I","225
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251
001","60","3.492","36.7","33.3","20.0","6.7","1.7",".",".","1.7",".",".",".",".",".",".",".","."
"","299
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Interior Design II","322
001","27","3.500","33.3","48.1","11.1",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Sustainabl Residntl Constructn","356
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430
001","34","3.242","41.2","11.8","14.7","8.8","8.8","5.9",".","8.8",".",".",".",".",".",".",".","."
"Color Theory and Technology","451
001","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","469
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","469
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","Course Total","2","***","","","","","","","","","","","","","","","",""
"","501
001","27","3.635","55.6","18.5","18.5",".","3.7",".",".",".",".",".",".",".",".",".","3.7","."
"","003
501","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","38","3.776","63.2","28.9","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
005","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
006","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
007","11","3.946","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
010","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
011","16","3.781","75.0","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","501
012","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","501
016","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
501","6","3.821","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
501","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","019
501","13","2.917","15.4","7.7","38.5","23.1",".","7.7",".",".",".",".",".",".","7.7",".",".","."
"","501
020","10","3.611","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","021
501","15","3.321","26.7","33.3","20.0",".","13.3",".",".",".",".",".",".",".","6.7",".",".","."
"Special Topics","Course Total","251","3.745","70.9","15.9","7.6","1.6","2.0","0.4",".",".",".",".",".",".","0.8","0.4","0.4","."
"Experimental Textile Design","528
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
001","14","3.512","57.1","28.6",".",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","601
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","Page 153 of 430",""
