"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Hist-Civil War-Present","102
001","108","3.176","10.2","34.3","37.0","8.3","3.7",".","0.9","4.6",".",".",".",".",".","0.9",".","."
"Medieval Europe 410-1500","115
001","70","3.305","37.1","21.4","17.1","5.7","4.3","4.3","1.4",".",".",".",".",".","1.4","1.4","5.7","."
"Modern Europe 1500-1815","119
001","73","2.914","6.8","19.2","28.8","13.7","8.2",".","2.7","19.2",".",".",".",".","1.4",".",".","."
"British Hist: 1688-Present","124
001","73","3.627","32.9","50.7","6.8","1.4",".",".",".","8.2",".",".",".",".",".",".",".","."
"Intro to World History","130
001","64","3.525","37.5","32.8","17.2","7.8",".",".",".",".",".",".",".",".",".",".","4.7","."
"AsianAm His:Settlmnt&Belonging","161
001","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","Course Total","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","001
201","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
201","45","3.322","31.1","48.9","8.9","2.2","2.2",".","6.7",".",".",".",".",".",".",".",".","."
"","201
003","32","3.219","31.3","28.1","15.6","3.1","21.9",".",".",".",".",".",".",".",".",".",".","."
"","004
201","14","3.571","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","25","3.340","28.0","32.0","24.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","006
201","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","157","3.436","37.6","38.9","12.1","3.8","5.7",".","1.9",".",".",".",".",".",".",".",".","."
"Western Christianity to 1750","212
001","23","3.300","30.4","17.4","30.4",".","4.3","4.3",".","8.7",".",".",".",".",".","4.3",".","."
"","221
001","43","3.465","25.6","46.5","23.3","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
221","24","3.375","12.5","54.2","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","Course Total","67","3.427","20.9","49.3","25.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223
001","25","3.229","40.0","24.0","8.0","12.0","4.0","4.0","4.0",".",".",".",".",".","4.0",".",".","."
"","225
001","22","3.205","18.2","40.9","18.2","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","225
002","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","Course Total","31","3.274","25.8","35.5","19.4","6.5","12.9",".",".",".",".",".",".",".",".",".",".","."
"Transnational/Cmp Hist(SocSci)","228
001","14","3.036","35.7","28.6","7.1","7.1","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"Latin America: 1780 to 1940","241
001","23","3.045","26.1","21.7","13.0","21.7","8.7",".","4.3",".",".",".",".",".","4.3",".",".","."
"SE Asian Refugees of Cold War","246
001","43","3.622","51.2","30.2","4.7","4.7","4.7",".",".","4.7",".",".",".",".",".",".",".","."
"Sport, Rec., & Society in U.S.","249
001","247","3.249","22.7","27.9","26.3","8.5","5.7","1.2","0.4","3.2",".",".",".",".",".",".","4.0","."
"Civs of India-Modern Period","252
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253
001","10","3.778","60.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255
002","10","3.086","20.0","20.0","20.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","21","3.344","47.6","4.8","14.3",".",".","4.8","4.8","23.8",".",".",".",".",".",".",".","."
"American Legal History to Pres","262
001","12","3.167",".","25.0","50.0",".",".",".",".",".",".",".",".",".",".","25.0",".","."
"Africa: Introductory Survey","277
001","27","3.167","18.5","25.9","40.7","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Afro-Atlantic Hist 1808-Presnt","279
001","67","3.288","23.9","32.8","28.4","9.0","3.0",".","1.5","1.5",".",".",".",".",".",".",".","."
"","283
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","283
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","283
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Hon Smr-Study Hist(H)","Course Total","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Africn&Africn-Amer Linkages","297
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"A History of Rome","307
001","148","3.127","10.1","34.5","32.4","12.8","4.1","1.4","0.7","4.1",".",".",".",".",".",".",".","."
