"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"840","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"840","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"840","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Psychophm Treat-Chld&Adolescnt","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Capstone Smr in Prevention Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"925","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"925","002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in Human Dev","Course Total","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Sysms-Consltn in Schl Psych","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"943
Internshp-School Psychology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"946
Adv Assess&Interven Techniques","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"947
Evidence-based Chld Psychother","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Structural Equation Modeling","001","","38","3.842","81.6","10.5","2.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"961
Smr-Statistics & Rsch Dsgn","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"963
Quasi-Experimental Designs","001","","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"964
Hierarchical Linear Modeling","001","","21","3.900","76.2","19.0",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","35","",".",".",".",".",".",".",".","88.6",".",".",".","11.4",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
