"L&S","","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","383
001","","100","3.390","46.0","20.0","17.0","4.0","11.0","2.0",".",".",".",".",".",".",".",".",".","."
"","384
001","","23","3.326","26.1","17.4","52.2","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
384","","16","3.375","31.3","12.5","56.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
384","","23","3.283","21.7","13.0","65.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","384
004","","14","3.536","50.0","21.4","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","005
384","","15","3.267","13.3","33.3","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cellular Biology Laboratory","Course Total","","91","3.346","27.5","18.7","50.5","2.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"Biological Interactions","587
001","","90","3.239","21.1","22.2","43.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","","291","3.344","34.4","19.6","35.1","5.2","5.2","0.7",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","13","3.348","30.8","23.1","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","151","3.313","32.5","19.2","37.7","3.3","6.0","1.3",".",".",".",".",".",".",".",".",".","."
"Senior","","","127","3.378","37.0","19.7","31.5","7.9","3.9",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","291","3.344","34.4","19.6","35.1","5.2","5.2","0.7",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","291","3.344","34.4","19.6","35.1","5.2","5.2","0.7",".",".",".",".",".",".",".",".",".","."
