"","990
299","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","57","",".",".",".",".",".",".",".","70.2",".",".","",".","29.8",".",".",".","."
"Seminar","992
001","24","3.825","62.5","20.8","4.2",".",".",".",".","12.5",".",".",".","",".",".",".",".","."
"Statistical Consulting","998
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"STAT
932","Dept. Total","2854","3.259","38.8","18.1","19.8","7.7","8.0","3.1","1.2","2.2","0.0","0.0","",".","0.6","0.0","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.095","20.7","22.4","29.3","13.8","12.1","1.7",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","451","3.075","32.6","13.7","24.2","11.8","10.4","5.3","1.6","0.2",".",".","",".",".",".",".","0.2","."
"Junior","","1019","3.208","35.6","20.0","21.5","8.2","9.8","3.3","1.2","0.2",".",".","",".",".",".",".",".","0.1"
"Senior","","744","3.151","37.1","16.0","20.7","9.4","9.4","4.0","1.9","0.7",".","0.1","",".","0.1","0.1","0.1",".","0.3"
"Undergraduates","","2272","3.160","35.1","17.5","22.0","9.5","9.9","3.9","1.5","0.4",".","0.0","",".","0.0","0.0","0.0","0.0","0.1"
"Special","","122","3.607","57.4","19.7","15.6","2.5","1.6",".","0.8","0.8","0.8",".","",".",".",".","0.8",".","."
"Graduate","","459","3.710","51.9","20.7","10.2","0.4","0.4",".",".","11.5",".",".","",".","3.7",".","0.4","0.7","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2854","3.259","38.8","18.1","19.8","7.7","8.0","3.1","1.2","2.2","0.0","0.0","",".","0.6","0.0","0.1","0.1","0.1"
