"","463
002","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Race & Sexuality in Amer Lit","Course Total","14","3.321","21.4","28.6","42.9","7.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","540
001","30","3.033","10.0","33.3","30.0","13.3","10.0","3.3",".","",".",".","",".",".","",".","",".",".",".","."
"","002
540","12","3.542","33.3","41.7","25.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","42","3.179","16.7","35.7","28.6","9.5","7.1","2.4",".","",".","",".",".","",".","",".",".",".",".","."
"ASIAN AM
184","Dept. Total","307","3.470","41.0","30.9","15.6","3.9","3.9","1.6","1.0","",".","",".",".","",".","",".","2.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.028","47.1","11.8","17.6",".","5.9","11.8","5.9","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","59","3.526","42.4","27.1","18.6","3.4","3.4","1.7",".","",".","",".",".","",".","",".","3.4",".",".","."
"Junior","","103","3.499","41.7","32.0","17.5","1.0","4.9","1.0","1.0","",".","",".",".","",".","",".","1.0",".",".","."
"Senior","","126","3.467","38.1","34.9","12.7","7.1","3.2","0.8","0.8","",".","",".",".","",".","",".","2.4",".",".","."
"Undergraduates","","305","3.467","40.7","31.1","15.7","3.9","3.9","1.6","1.0","",".","",".",".","",".","",".","2.0",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","307","3.470","41.0","30.9","15.6","3.9","3.9","1.6","1.0","",".","",".",".","",".","",".","2.0",".",".","."
