"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","20","3.675","60.0","15.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"234
Dairy Herd Management II","001","","20","3.425","50.0","25.0","15.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"299","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","21","2.950","28.6","14.3","14.3","4.8","28.6","4.8",".",".",".",".",".",".",".","4.8",".","."
"313","001","","10","3.600","80.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"313","002","","9","3.611","77.8",".",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","19","3.605","78.9",".","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"320
Animal Health & Disease Mgt","001","","7","3.143","42.9",".","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","19","3.263","36.8","5.3","47.4","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","9","3.000","11.1","22.2","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","11","3.409","54.5",".","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"373
Animal Physiology","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","12","3.458","50.0","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","18","3.861","88.9",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","6","3.000",".","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"375","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","42","3.644","66.7","7.1","16.7","7.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.967","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Dairy Science Tchng","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","","Page 17 of 430"
