"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","15","3.711","80.0","6.7",".","6.7","6.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","19","3.610","57.9","31.6","5.3",".","5.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","52","3.301","53.8","9.6","15.4","9.6","1.9","1.9","3.8",".","",".",".","",".","1.9","",".",".","1.9","."
"Undergraduates","","89","3.445","58.4","15.7","10.1","6.7","3.4","1.1","2.2",".","",".",".","",".","1.1","",".",".","1.1","."
"Special","","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","75","3.777","49.3","5.3","5.3","1.3",".",".",".","17.3","",".",".","",".","21.3","",".",".",".","."
"","Dept. Total","165","3.546","54.5","10.9","7.9","4.2","1.8","0.6","1.2","7.9","",".",".","",".","10.3","",".",".","0.6","."
