"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR
Dept. Total
826","281","3.791","64.8","21.7","6.8","1.4","",".","",".","",".","5.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","7","3.575","28.6","42.9","14.3",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","7","3.575","28.6","42.9","14.3",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Special","6","3.667","66.7","16.7",".","16.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","249","3.807","66.7","20.9","6.0","1.2","",".","",".","",".","5.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","10","3.722","50.0","30.0","10.0",".","",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"Professionals","19","3.694","52.6","26.3","15.8",".","",".","",".","",".","5.3","",".",".","",".","",".","",".",".",".","."
"Dept. Total","281","3.791","64.8","21.7","6.8","1.4","",".","",".","",".","5.3","",".",".","",".","",".","",".",".",".","."
