"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101
Beginning Class Piano","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","20","3.700","65.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","12","3.292","25.0","25.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"104
Intermediate Class Piano","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"143
Intro to Performance: Voice","001","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","044","","6","3.909","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"144","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","16","3.963","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"148
First Year Composition","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"201","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","4","***","","","","","","","","","","","","","","","",""
"203
Elem/Intmed Organ","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"205","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","19","3.951","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Elem/Intmed Bassoon","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"217
Elem/Intmed Horn","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"219
Elem/Intmed Trumpet","063","","8","3.944","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"221
Elem/Intmed Trombone","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"223
Elem/Intmed Euphonium","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"225
Elem/Intmed Tuba","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"227
Elem/Intmed Percussion","033","","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 26, 2015","","","","","","","","","","","","","","","","","","","Page 284 of 430",""
