"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"B M E","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","11","3.595","45.5","27.3","27.3",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","152","3.372","27.6","36.2","26.3","5.3","3.9",".",".",".","",".",".",".",".","0.7",".",".","."
"Senior","542","3.539","47.8","33.0","13.1","3.7","0.7","0.2","0.4",".","",".","0.2",".",".","0.7",".","0.2","."
"Undergraduates","706","3.502","43.5","33.6","16.1","4.0","1.4","0.1","0.3",".","",".","0.1",".",".","0.7",".","0.1","."
"Special","6","2.833",".",".","33.3","16.7",".",".",".","16.7","",".","16.7",".",".",".",".","16.7","."
"Graduate","195","3.706","26.7","12.3","4.1","0.5","0.5",".","0.5","31.8","",".","12.8","0.5","10.3",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","3","***","","","","","","","","","","",".",".",".",".",".",".","."
